customer_id,gender,age,city,signup_date,order_id,order_date,restaurant_name,dish_name,category,quantity,price,payment_method,order_frequency,last_order_date,loyalty_points,churned,rating,rating_date,delivery_status
C4554,Other,Teenager,Lahore,6/20/2024,O8554,8/31/2023,Subway,Sandwich,Continental,5,575.25,Card,8,4/15/2025,168,Active,,05-06-2025,Cancelled
C1842,Female,Teenager,Lahore,4/27/2025,O5842,8/31/2023,Pizza Hut,Pasta,Dessert,3,1487.08,Cash,2,9/17/2024,205,Active,5,9/13/2024,Delivered
C1557,Female,Teenager,Peshawar,01-11-2024,O5557,8/31/2023,Burger King,Pizza,Chinese,1,1071.22,Cash,5,6/15/2025,56,Inactive,5,10-11-2024,Delivered
C6668,Other,Senior,Lahore,10/14/2024,O10668,8/31/2023,Pizza Hut,Burger,Fast Food,2,181.27,Cash,12,8/28/2024,364,Inactive,,11/20/2024,Cancelled
C6686,Female,Senior,Peshawar,08-11-2024,O10686,8/31/2023,KFC,Burger,Fast Food,1,397.47,Wallet,5,04-12-2025,180,Active,,06-10-2025,Cancelled
C3239,Female,Senior,Lahore,9/13/2023,O7239,8/31/2023,Pizza Hut,Fries,Chinese,5,1475.86,Card,13,7/13/2025,59,Active,,02-09-2025,Cancelled
C1207,Other,Teenager,Peshawar,9/23/2023,O5207,8/31/2023,McDonald's,Pizza,Italian,4,1143.99,Wallet,26,9/26/2024,323,Inactive,4,3/24/2025,Delivered
C6466,Other,Senior,Islamabad,2/14/2024,O10466,8/31/2023,KFC,Fries,Chinese,1,1492.84,Wallet,50,3/28/2025,423,Active,,02-09-2025,Cancelled
C6687,Other,Adult,Islamabad,06-10-2025,O10687,09-01-2023,KFC,Pasta,Italian,3,101.29,Wallet,28,1/17/2025,468,Inactive,3,02-07-2025,Delivered
C3210,Other,Teenager,Karachi,06-05-2025,O7210,09-01-2023,Burger King,Pasta,Fast Food,2,528.24,Cash,24,02-08-2025,149,Inactive,4,8/24/2024,Delayed
C2375,Female,Teenager,Peshawar,11/17/2023,O6375,09-01-2023,McDonald's,Burger,Continental,3,716.53,Card,3,2/20/2025,432,Inactive,,9/17/2024,Cancelled
C3484,Male,Senior,Peshawar,08-02-2025,O7484,09-01-2023,Subway,Pasta,Fast Food,3,1135.18,Cash,2,10-01-2024,113,Active,,11/29/2024,Cancelled
C3775,Other,Adult,Multan,12/29/2024,O7775,09-01-2023,Burger King,Fries,Chinese,2,388.86,Cash,31,09-01-2024,39,Inactive,,10-05-2024,Cancelled
C5566,Other,Teenager,Islamabad,3/25/2024,O9566,09-01-2023,Subway,Pasta,Dessert,5,362.35,Cash,23,2/28/2025,309,Active,5,01-03-2025,Delayed
C3733,Male,Adult,Multan,12/18/2024,O7733,09-01-2023,Burger King,Sandwich,Continental,4,172.76,Wallet,23,5/18/2025,356,Inactive,5,1/25/2025,Delivered
C5134,Male,Senior,Lahore,05-02-2025,O9134,09-02-2023,Burger King,Sandwich,Chinese,3,184.12,Card,41,2/23/2025,491,Inactive,,02-02-2025,Cancelled
C4670,Other,Adult,Peshawar,8/23/2024,O8670,09-02-2023,Pizza Hut,Fries,Italian,3,124.6,Card,26,05-06-2025,297,Inactive,,11/28/2024,Cancelled
C2760,Other,Teenager,Lahore,7/26/2025,O6760,09-02-2023,McDonald's,Pizza,Dessert,4,664.08,Cash,20,04-10-2025,354,Inactive,,04-09-2025,Cancelled
C6071,Female,Senior,Peshawar,1/23/2024,O10071,09-02-2023,Pizza Hut,Pizza,Continental,1,1465.02,Card,45,07-04-2025,420,Active,1,2/20/2025,Delivered
C5186,Female,Adult,Peshawar,10/27/2023,O9186,09-02-2023,Subway,Pizza,Continental,2,158.21,Cash,8,12/27/2024,321,Active,3,02-12-2025,Delayed
C3464,Other,Adult,Peshawar,06-11-2024,O7464,09-02-2023,Pizza Hut,Pizza,Continental,2,949.78,Card,46,4/14/2025,435,Active,,8/14/2025,Cancelled
C5340,Male,Teenager,Peshawar,05-09-2024,O9340,09-02-2023,McDonald's,Pasta,Continental,1,1047.07,Wallet,50,1/29/2025,328,Inactive,2,09-01-2024,Delayed
C5353,Male,Adult,Islamabad,5/25/2025,O9353,09-02-2023,KFC,Pizza,Dessert,2,1491.88,Cash,44,03-12-2025,330,Active,5,09-07-2024,Delayed
C6843,Other,Senior,Multan,04-10-2025,O10843,09-02-2023,KFC,Pizza,Italian,4,1014.28,Card,41,7/22/2025,0,Active,1,1/23/2025,Delivered
C5132,Male,Teenager,Lahore,9/13/2024,O9132,09-02-2023,Subway,Burger,Fast Food,2,941.02,Wallet,5,7/18/2025,468,Active,1,2/27/2025,Delivered
C2398,Other,Senior,Islamabad,12/29/2023,O6398,09-03-2023,Subway,Pasta,Chinese,1,1187.79,Cash,41,07-05-2025,22,Inactive,,12/13/2024,Cancelled
C5122,Other,Senior,Multan,3/30/2025,O9122,09-03-2023,McDonald's,Pizza,Chinese,3,1201.49,Cash,37,4/30/2025,293,Active,1,11/30/2024,Delayed
C6532,Female,Senior,Islamabad,3/15/2024,O10532,09-03-2023,Pizza Hut,Pizza,Dessert,4,579.72,Wallet,40,7/14/2025,170,Inactive,3,02-06-2025,Delayed
C1833,Other,Adult,Peshawar,06-06-2025,O5833,09-03-2023,KFC,Burger,Chinese,4,599.35,Cash,3,04-08-2025,322,Inactive,,1/15/2025,Cancelled
C2040,Male,Senior,Peshawar,02-07-2024,O6040,09-03-2023,Burger King,Pasta,Fast Food,4,1418.27,Wallet,14,5/18/2025,291,Inactive,,02-10-2025,Cancelled
C2631,Female,Adult,Lahore,11-08-2024,O6631,09-03-2023,Subway,Pasta,Continental,2,1174.62,Card,50,02-11-2025,64,Active,,3/24/2025,Cancelled
C3877,Other,Teenager,Islamabad,10/22/2024,O7877,09-03-2023,KFC,Fries,Continental,4,213.52,Cash,50,1/22/2025,24,Active,,12/14/2024,Cancelled
C4158,Male,Senior,Islamabad,4/27/2024,O8158,09-04-2023,KFC,Fries,Chinese,3,566.9,Wallet,22,3/27/2025,387,Active,,2/22/2025,Cancelled
C3705,Other,Teenager,Lahore,5/15/2024,O7705,09-04-2023,Burger King,Pasta,Italian,3,881.71,Wallet,16,6/25/2025,26,Active,,11/20/2024,Cancelled
C5223,Other,Adult,Multan,11-01-2023,O9223,09-04-2023,Subway,Fries,Chinese,3,1142.45,Wallet,9,09-08-2024,397,Inactive,1,3/20/2025,Delayed
C4259,Male,Teenager,Islamabad,12/28/2024,O8259,09-04-2023,McDonald's,Fries,Continental,3,734.85,Card,48,9/21/2024,245,Active,4,10/17/2024,Delivered
C4636,Female,Teenager,Lahore,1/27/2024,O8636,09-04-2023,Subway,Pasta,Fast Food,4,1303.08,Wallet,19,07-09-2025,62,Active,1,04-08-2025,Delayed
C3087,Female,Adult,Peshawar,05-05-2025,O7087,09-04-2023,Subway,Pizza,Italian,2,526.39,Wallet,7,6/22/2025,83,Inactive,1,04-04-2025,Delayed
C6268,Male,Teenager,Islamabad,02-11-2024,O10268,09-04-2023,Pizza Hut,Sandwich,Fast Food,3,897.81,Cash,15,8/14/2025,193,Active,,6/19/2025,Cancelled
C1434,Other,Senior,Multan,3/16/2024,O5434,09-05-2023,Subway,Burger,Chinese,4,949.24,Card,21,6/15/2025,264,Active,,11/21/2024,Cancelled
C3992,Male,Teenager,Lahore,7/21/2024,O7992,09-05-2023,Subway,Fries,Italian,5,904.16,Card,10,2/20/2025,118,Inactive,4,02-03-2025,Delayed
C4725,Other,Senior,Islamabad,12-10-2023,O8725,09-05-2023,Subway,Pizza,Continental,4,321.23,Wallet,32,3/17/2025,145,Inactive,2,06-06-2025,Delivered
C3703,Other,Teenager,Multan,10/30/2024,O7703,09-05-2023,McDonald's,Fries,Fast Food,4,1071.49,Card,39,06-04-2025,1,Active,2,2/15/2025,Delayed
C1727,Male,Adult,Multan,8/26/2023,O5727,09-05-2023,Burger King,Fries,Dessert,3,465.28,Wallet,4,06-06-2025,71,Active,4,6/15/2025,Delivered
C2154,Male,Teenager,Peshawar,11/13/2024,O6154,09-05-2023,Pizza Hut,Pizza,Continental,3,141.58,Wallet,30,09-05-2024,363,Active,2,4/27/2025,Delivered
C6419,Female,Senior,Peshawar,04-12-2025,O10419,09-05-2023,Pizza Hut,Pizza,Continental,5,699.7,Cash,20,9/16/2024,183,Active,3,7/24/2025,Delivered
C6318,Male,Teenager,Islamabad,1/17/2025,O10318,09-06-2023,McDonald's,Sandwich,Continental,3,1428.01,Cash,50,10-10-2024,185,Active,,5/21/2025,Cancelled
C5633,Other,Adult,Lahore,5/20/2025,O9633,09-06-2023,KFC,Fries,Italian,5,218.68,Wallet,26,12-07-2024,249,Active,4,03-10-2025,Delivered
C5834,Other,Adult,Multan,10-06-2023,O9834,09-06-2023,Pizza Hut,Burger,Dessert,4,395.88,Card,37,11-11-2024,113,Inactive,3,4/16/2025,Delayed
C1356,Female,Teenager,Islamabad,10/13/2024,O5356,09-06-2023,Burger King,Sandwich,Dessert,2,235.82,Wallet,28,8/16/2025,452,Inactive,1,8/25/2024,Delayed
C6282,Female,Senior,Lahore,3/18/2024,O10282,09-06-2023,KFC,Sandwich,Italian,5,626.86,Card,47,3/28/2025,117,Inactive,4,3/21/2025,Delayed
C3241,Other,Adult,Peshawar,08-10-2025,O7241,09-06-2023,McDonald's,Fries,Dessert,3,667.31,Cash,22,12/29/2024,375,Active,3,9/15/2024,Delivered
C4303,Male,Adult,Multan,12/18/2024,O8303,09-06-2023,KFC,Sandwich,Dessert,2,893.55,Cash,17,10/21/2024,497,Inactive,3,11/20/2024,Delayed
C6640,Female,Adult,Karachi,1/31/2025,O10640,09-06-2023,Subway,Pasta,Italian,1,368.03,Cash,25,12/19/2024,83,Inactive,4,12/21/2024,Delayed
C1410,Male,Teenager,Karachi,04-06-2025,O5410,09-07-2023,KFC,Fries,Fast Food,1,708.22,Cash,39,1/19/2025,441,Active,5,09-12-2024,Delayed
C2514,Male,Teenager,Multan,08-10-2024,O6514,09-07-2023,Burger King,Burger,Fast Food,3,892.81,Cash,25,07-02-2025,335,Inactive,,2/20/2025,Cancelled
C5399,Other,Teenager,Lahore,04-12-2024,O9399,09-07-2023,Burger King,Burger,Continental,4,1043.78,Card,6,4/15/2025,114,Active,2,06-05-2025,Delayed
C5621,Other,Senior,Islamabad,5/28/2025,O9621,09-07-2023,Burger King,Fries,Italian,5,162.05,Wallet,27,1/24/2025,271,Inactive,,06-09-2025,Cancelled
C2832,Other,Teenager,Peshawar,07-03-2024,O6832,09-07-2023,McDonald's,Pasta,Italian,4,792.08,Card,19,9/21/2024,296,Inactive,4,9/13/2024,Delivered
C6876,Female,Teenager,Islamabad,02-06-2025,O10876,09-07-2023,KFC,Pasta,Dessert,5,1356.66,Card,30,11/13/2024,470,Inactive,,11-07-2024,Cancelled
C1577,Male,Senior,Karachi,8/19/2024,O5577,09-07-2023,KFC,Pizza,Italian,1,820.53,Card,18,5/24/2025,402,Inactive,1,8/21/2025,Delivered
C5668,Female,Adult,Multan,6/27/2025,O9668,09-07-2023,KFC,Burger,Fast Food,2,1115.36,Card,9,10/20/2024,294,Active,2,4/30/2025,Delayed
C1370,Male,Senior,Lahore,4/27/2025,O5370,09-07-2023,KFC,Pasta,Chinese,3,1186.98,Card,11,04-12-2025,134,Inactive,,07-08-2025,Cancelled
C5722,Male,Teenager,Multan,6/26/2025,O9722,09-07-2023,Burger King,Fries,Continental,2,1215.67,Wallet,8,6/29/2025,186,Inactive,4,12/27/2024,Delivered
C6273,Male,Teenager,Peshawar,5/17/2025,O10273,09-07-2023,Burger King,Pizza,Chinese,2,614,Card,21,03-05-2025,52,Active,,11-05-2024,Cancelled
C3949,Male,Adult,Peshawar,10/18/2024,O7949,09-08-2023,Burger King,Sandwich,Chinese,2,212.59,Cash,26,6/26/2025,302,Active,1,9/20/2024,Delivered
C1847,Male,Senior,Lahore,03-01-2024,O5847,09-08-2023,Subway,Fries,Continental,3,1097.28,Card,20,9/22/2024,22,Active,5,11/30/2024,Delayed
C6999,Female,Adult,Multan,5/16/2024,O10999,09-08-2023,Subway,Sandwich,Continental,2,1033.59,Card,1,1/16/2025,255,Active,1,10-06-2024,Delayed
C3717,Female,Senior,Islamabad,07-01-2024,O7717,09-09-2023,Burger King,Burger,Fast Food,4,466.04,Cash,27,9/25/2024,169,Inactive,,04-10-2025,Cancelled
C6796,Other,Teenager,Lahore,2/27/2024,O10796,09-09-2023,KFC,Burger,Chinese,2,724.91,Cash,18,12-04-2024,438,Inactive,,3/23/2025,Cancelled
C1799,Male,Adult,Multan,2/22/2025,O5799,09-09-2023,Burger King,Burger,Fast Food,3,1128.96,Card,12,8/17/2025,487,Active,,5/13/2025,Cancelled
C3815,Male,Teenager,Karachi,04-07-2025,O7815,09-09-2023,Pizza Hut,Fries,Italian,5,122.84,Cash,43,5/24/2025,104,Active,5,3/29/2025,Delivered
C5637,Male,Senior,Lahore,11/29/2023,O9637,09-09-2023,Subway,Fries,Continental,3,440,Wallet,11,12/23/2024,497,Active,3,1/13/2025,Delivered
C2045,Male,Adult,Karachi,6/22/2024,O6045,09-09-2023,Burger King,Sandwich,Chinese,2,1207.62,Wallet,46,2/22/2025,91,Active,2,3/13/2025,Delivered
C4628,Female,Adult,Peshawar,3/20/2025,O8628,09-09-2023,McDonald's,Pizza,Continental,3,1147.65,Wallet,45,4/15/2025,353,Active,4,12-12-2024,Delivered
C4407,Other,Adult,Peshawar,8/31/2023,O8407,09-09-2023,Pizza Hut,Sandwich,Continental,5,1203.99,Wallet,1,4/17/2025,106,Inactive,4,07-02-2025,Delayed
C5061,Female,Teenager,Karachi,6/30/2024,O9061,09-09-2023,McDonald's,Burger,Chinese,2,1417.09,Card,46,01-01-2025,355,Active,,03-05-2025,Cancelled
C4423,Male,Teenager,Karachi,6/21/2024,O8423,09-09-2023,Pizza Hut,Fries,Italian,5,1010.15,Cash,25,03-08-2025,461,Active,,7/16/2025,Cancelled
C2522,Other,Teenager,Peshawar,3/25/2025,O6522,09-10-2023,KFC,Sandwich,Italian,4,589.82,Cash,28,12-11-2024,162,Inactive,2,08-07-2025,Delivered
C2161,Female,Senior,Karachi,1/20/2025,O6161,09-10-2023,KFC,Pizza,Fast Food,1,394.08,Card,1,02-06-2025,169,Inactive,4,12/14/2024,Delayed
C2167,Male,Senior,Multan,1/30/2025,O6167,09-10-2023,McDonald's,Sandwich,Italian,4,1460.35,Card,9,4/19/2025,315,Active,,1/25/2025,Cancelled
C5088,Other,Senior,Lahore,9/25/2023,O9088,09-10-2023,Subway,Pasta,Fast Food,5,1397.42,Card,18,8/27/2024,36,Active,,03-11-2025,Cancelled
C3941,Other,Adult,Lahore,10-03-2023,O7941,09-10-2023,Burger King,Sandwich,Italian,3,257.86,Wallet,47,1/25/2025,327,Inactive,,7/27/2025,Cancelled
C2536,Female,Adult,Karachi,12/26/2023,O6536,09-10-2023,McDonald's,Burger,Fast Food,3,882.75,Wallet,16,1/28/2025,13,Active,4,10-08-2024,Delayed
C3321,Male,Teenager,Multan,05-10-2024,O7321,09-10-2023,Burger King,Pasta,Dessert,5,689.01,Card,3,03-08-2025,189,Inactive,,12/20/2024,Cancelled
C1075,Male,Adult,Lahore,9/24/2023,O5075,09-10-2023,Subway,Pasta,Continental,2,1452.79,Cash,30,10-06-2024,382,Active,,04-12-2025,Cancelled
C5413,Other,Teenager,Islamabad,11/16/2024,O9413,09-10-2023,Subway,Pasta,Chinese,3,460.45,Card,40,11/23/2024,4,Active,,05-03-2025,Cancelled
